business_id,train_interaction_count
-5Rah4ZvWsDu4oilUZxhtw,357
-ATiAtTikuGuqvaW2O6tNA,590
-Bhoyo7LL97tgt9Hze0Saw,16
-CRjqZ4GxZ6lIa_qMj7-yw,59
-IOWVdmqsfd02_G-nJACdQ,54
-NFHQ0ePNYu6SrwekdhcBw,10
-Rn6U-ySYo_Lx9vCgDSooA,25
-SgBPXjleGQqruChlFE03w,13
-Yy3mwrGPJ7GOUwZc7WU_g,67
-cEFKAznWmI0cledNOIQ7w,1133
-dVBeSZxtxpHQ3XdL4E4bQ,159
-nIXhxPvxST6bTuj9jo1UQ,176
-n_beuzQuajaezPD2PyQvA,15
-nh_MbLmAURKEtHV4qpN3A,25
-qWhas31o61V6vC6yo6NWw,33
-rDhWLQJ28L2ttkaftdZNQ,75
-rwfGlw6T5czqQO4uZGWYw,81
-wlmZ-b35UJ-GY-59NDxyw,150
-xgmh7w82mp61c9ZGYEi5A,14
02qFLwwFi8T804rHcYh7Zw,160
0AthhX_KRegsRZ1YyWBB0A,10
0CPhgQAtXvxsmyFNJah16w,176
0F2jyiUdl8CSKQeR1KwVig,55
0JPi9cyV9i3_kDPj049_qQ,94
0JoB3ThhI-DS78-1Ks1EUQ,103
0NZkEpA4VeOy7b56KYGx_Q,42
0N_HQ2GsT1zNKX-escN2ZQ,52
0OtQaTauMzH0JM-NwJdXdw,21
0RO4HyAgoCOqbKqkspoGNg,15
0a8t_Th0jtWUMmtq0q2dqA,31
0ak-7uV9Nb7nF_l-mMCysA,226
0dWrbjWlPDBq3WpDq_bCxQ,138
0pamUcfn0SXbuj79Y_tRiw,51
13HH552okR9DsjANReVeFQ,321
15lTva4TjdKvCoer9JMKSg,10
16cCF9_aaDxIa1hO3gybKw,85
18kkPUHXsYj9qfMtiLlgJw,11
1F_lKVOdC8UN-5UOQ-FSGA,29
1FeB0RbAz9kdoZsTf05arw,15
1LUZupYFJ6CxSKU37qDSXw,562
1TMkNxmaJuMCZh1osxizPA,218
1UKBAgYxI9Qax3AA4ULw_w,29
1eCw55QfY-1c7n7wtgf93A,20
1el_4ywdqa2lIsI1YPEbsg,28
1fGaY2WlGv2l4as6UkMFrg,202
1gORtnWyZrRc0kPG1-EeWw,31
1ns2MWIrvR3p2-OgKpt0qQ,37
1r9Be3uySySGhQ7ecGMfdg,32
22uHGWZ2WkhvmZDVBGcdEQ,12
26g6EO9eqWVsA92yomXKpw,26
27wPl0IBJPPHkCNPzXDmnA,13
28W1WtQCD5X9GxR6A7q8gA,31
2CDI713ATuxHfnB5b-sBdw,1454
2JELyyb4MdGtrVIWD5mpfQ,43
2Wmvi5-7LS1iw5UkOuLWlw,75
2YYN4j68YD8S8PsygtJaQA,206
2ZSnGlqj8JOWcN2bNf-3SQ,251
2cfEAFZZee8fq3Xx6yZ87w,22
2dMyN3EaNe-aijFccFbYXg,33
2foZO5xadGFXF-ECeFWbPA,25
