business_id,train_interaction_count
-5Rah4ZvWsDu4oilUZxhtw,355
-ATiAtTikuGuqvaW2O6tNA,580
-Bhoyo7LL97tgt9Hze0Saw,16
-CRjqZ4GxZ6lIa_qMj7-yw,59
-IOWVdmqsfd02_G-nJACdQ,53
-NFHQ0ePNYu6SrwekdhcBw,10
-Rn6U-ySYo_Lx9vCgDSooA,25
-SgBPXjleGQqruChlFE03w,13
-Yy3mwrGPJ7GOUwZc7WU_g,66
-cEFKAznWmI0cledNOIQ7w,1117
-dVBeSZxtxpHQ3XdL4E4bQ,158
-nIXhxPvxST6bTuj9jo1UQ,172
-n_beuzQuajaezPD2PyQvA,14
-nh_MbLmAURKEtHV4qpN3A,23
-qWhas31o61V6vC6yo6NWw,30
-rDhWLQJ28L2ttkaftdZNQ,75
-rwfGlw6T5czqQO4uZGWYw,80
-wlmZ-b35UJ-GY-59NDxyw,150
-xgmh7w82mp61c9ZGYEi5A,14
02qFLwwFi8T804rHcYh7Zw,157
0AthhX_KRegsRZ1YyWBB0A,10
0CPhgQAtXvxsmyFNJah16w,174
0F2jyiUdl8CSKQeR1KwVig,55
0JPi9cyV9i3_kDPj049_qQ,92
0JoB3ThhI-DS78-1Ks1EUQ,102
0NZkEpA4VeOy7b56KYGx_Q,40
0N_HQ2GsT1zNKX-escN2ZQ,52
0OtQaTauMzH0JM-NwJdXdw,21
0RO4HyAgoCOqbKqkspoGNg,14
0a8t_Th0jtWUMmtq0q2dqA,31
0ak-7uV9Nb7nF_l-mMCysA,221
0dWrbjWlPDBq3WpDq_bCxQ,138
0pamUcfn0SXbuj79Y_tRiw,51
13HH552okR9DsjANReVeFQ,318
15lTva4TjdKvCoer9JMKSg,10
16cCF9_aaDxIa1hO3gybKw,82
18kkPUHXsYj9qfMtiLlgJw,11
1F_lKVOdC8UN-5UOQ-FSGA,29
1FeB0RbAz9kdoZsTf05arw,15
1LUZupYFJ6CxSKU37qDSXw,552
1TMkNxmaJuMCZh1osxizPA,213
1UKBAgYxI9Qax3AA4ULw_w,29
1eCw55QfY-1c7n7wtgf93A,20
1el_4ywdqa2lIsI1YPEbsg,27
1fGaY2WlGv2l4as6UkMFrg,199
1gORtnWyZrRc0kPG1-EeWw,31
1ns2MWIrvR3p2-OgKpt0qQ,37
1r9Be3uySySGhQ7ecGMfdg,30
22uHGWZ2WkhvmZDVBGcdEQ,12
26g6EO9eqWVsA92yomXKpw,25
27wPl0IBJPPHkCNPzXDmnA,13
28W1WtQCD5X9GxR6A7q8gA,31
2CDI713ATuxHfnB5b-sBdw,1441
2JELyyb4MdGtrVIWD5mpfQ,42
2Wmvi5-7LS1iw5UkOuLWlw,74
2YYN4j68YD8S8PsygtJaQA,204
2ZSnGlqj8JOWcN2bNf-3SQ,251
2cfEAFZZee8fq3Xx6yZ87w,22
2dMyN3EaNe-aijFccFbYXg,33
2foZO5xadGFXF-ECeFWbPA,25
2pDXWt8KnncH7FEHL25NvA,439
2sp5J1TTPz9KNHmoXzEUAg,20
2uWtuSX33e2fKGQvpS6b7Q,11
2vpflvpjxG5SbE2aSScg3Q,45
2vsHDnVOwO54rKCt1An3pA,62
32It9NN_lVismU9tcuLB0A,380
3CsBRtDT5WOUu8IY0mHhXw,119
3DCbl5GrBX0CH71jbSC74Q,40
3DvZac7cg3nbdC9KBCQEsw,185
3FKIev7ZB_KE6XHL9sUJCg,429
3M69f6Cg2CAgpEcIgoKS5A,311
3MIsXwx5zVmlwzRx9UnuFQ,61
3UBG2rwjgP-6ifTAuKl3Gg,138
3ccAyGhQyN7XOcMNWvytYw,77
3i2osEy5qFjdl8ONoDeQTw,26
3u5qUgOrgczTdCUhb0kKow,67
3wxKriseiH9Isp5xmyBupw,88
44Xh-IjWDSn7XTw1hzO50g,790
49v1EM5ao88mJ-d79dwPVQ,34
4D_GsaRoqk7P09VOcgezlQ,187
4HLur5bFXB6pT0o4ao3wgA,77
4J06--ty2Ydj1---IsArLw,879
4TleqRlbwgXcIgz33HjLJQ,228
4_u6ikFiy1MMwPA9ZDkuXQ,30
4c2g3f516yTu4mZLbYqsmQ,20
4h6Fhm5g9mlNBN6nBLwWSA,41
4hv1n1VBzMvE-T4UtIcOcw,547
4jONpl2rUUJvt7UnNBOX4A,18
4mt4ElDuj8ryeDn7Rcr-_g,93
4qG7aFq9-45830OfYt7gCA,304
4rMUoAD4OylA9e-ED05Zzg,47
4tyoxyxyCKpcRwkbyIizpw,64
4vy8j-L9zXXFH_wh2sVzAw,55
5DDdiTlpK6Z2fqFs4uSTQQ,274
5IL3rTT-_LHyvVJRVNKxaQ,57
5JDr2Y3Z90swrBJtVH0oNw,25
5NtlI8JSlVcDNcsstl9oeQ,107
5SiRf11-pruaeDoF37jJAA,26
5ezrDoezdUlJpUa5Jg6dUQ,67
5lUtEhbOrvBARVNI-YLgLA,65
5ttu4EX5BFj3sO5GG-XYQA,20
5vAtunQlPFkfdTI9zn4TIw,140
5yHr68eo0ccYUMSx1bQFcA,53
5yeL75bFLZlGB6dUfwCIQw,74
65TDxeJI6mFStXxSqAcYWA,23
68ThEdiK0eWCEgGEmV9Tng,305
68YMbUXLeDo28HmBbFJ1Wg,164
6Hqs_ncxV_SJDKvY9ISTUA,38
6OC8ErU_m06KABnfSXTJEA,134
6R4McGGLgUbm1ChZCKis-A,20
6RVwHKupjKs8lyu2qDQXtw,10
6WyvHRQ7ufNda7XFFGFw_Q,21
6YVzV8cIn28pOPmXoQra1g,324
6c8eIawbCBu3FLp2kDraBA,202
6g3pHoyXeMXFC7WD0rbJMA,14
6lKI4yBdi6sajDBZV-KmQA,64
6mkwPyb919Xwej65K7AkEw,54
6sLkF8DP4U-8r1qcDauM5g,10
6wJgea1AH_ppd4ROTYgoVA,163
6x9hcZ1CJ4S9avBgPGS7-Q,561
6yViIhBe4Qd60a-GCDbm5w,93
6zXBmEBGqFVwTcPqmGStfw,58
73SCAor6x6Acyv5cEp2Whg,14
7AV88DN083bPNmNue2my4Q,17
7Ct4QuWaY63DkAOXqEiVGA,17
7J4k_kJN32LEQ6ibixj7wg,49
7QfRLE_ti1yA0NqTWKLjdw,206
7gyFoLqapUSW94EI6pFekQ,127
7hwH3wiWB17U9Nw4EjJo0A,52
7obWY9fj6AvNT4Nyfa9lPw,10
7ormmSk9UQxdS5QLCLD9Ew,74
7x6jd4kyzc4r19arTc320Q,14
7zdWY4WhiEsYsSPJhYnPZg,16
8-1vYscR7TNGF7LcJeNZBQ,92
8Ck78FmeRO7W9iy1-5eCeg,152
8HdSXgVPcZUBvaTKqlUL2A,36
8QtgPszOI5-4qwizvWi5lA,24
8VZd61Jo4WUdacQuRjrZoQ,10
8W4w1sXXDER5ujjE-cuOFg,108
8Xk9nyQkaLZyWJcZrwX2uA,9
8XzJOLIIZs_aN6GZNur-8g,13
8q1goL8IPTfNMdEPm5ssQA,23
8rR1SQZZHz9z_4MMars6jw,66
8ueey6KW9crymWsjjFLr8w,162
8xuhKP08513N2W32JOMW4Q,678
90uXOQ0oaEaxiO-wJQkaRA,27
94wTNYCNUYf5eclY8KxCcA,51
9A5Gw0At6so0x-vWM0_JZw,331
9Kc8kccL0kkAyReycrr4EA,154
9RFPD2h1FdP7ASKk8iGSMQ,40
9c7MUiE6VI8NesjPdj5FkA,549
9grEZiXcQKVgVz73W6Ah5A,21
9kYR383I5IumdKEFTAsrxQ,171
9sEzWuaOicYlbp9a6A829A,27
9sOHuGGwb8uRVu7pANSWfg,246
9wicN8U1jTdXG49anAV9JQ,10
A0QbndhHwlqfY0McSy-xQA,54
A37C-01zpQty9FmxvZrxEg,65
A4lNNEM6ovL0et9hBnoDKw,273
A4zsfXGNGeOu37dDMcKTUg,58
AFG0Xm_iVHyCgikI97F8Yg,58
AHtX7vm26KgfX4Mcx8M6pA,20
ANmX99M5KtNWi5g39TFIKw,47
AQmW8ZREbg8ZS0AjkARDig,54
AXb5gCwqHl-_v6ZIMb1mXQ,65
Ag_GeZwOrT0nmyhnKQiVBA,45
AgcJCv6R9d40ByHZrDJ62A,160
Ahiia0mDn0VYt-t6S12exA,31
Aiu1Tm13sMXRAGRYFZ0MUA,43
Al8y5FTs9tW5VsxTVy9ZMg,288
AlHrYVvcx-RcIbUz5aEiLQ,24
AmI3LIUNwsi4023hOVGu3w,872
Amlv0ZznNVC-EzoAN_f_MA,62
AnZPS4hUH1TzPrrEhIjJcA,68
ArNDRug3p5zngNHiLivnFA,129
AwvhobfqOJNBnbXQ_pB3pw,143
Ay0j65KKb3sOrOFUVWs44g,104
B-O3TsBwkK3Bir3AbVlhKw,26
B2u8anybTXox0SiUOqIAfg,55
B3ge1SSk9U-baGyUSPG8MQ,34
B6Cn6maWQ6sLhLwYGLhSlg,285
B7ITvKiGMf6X1tS7Z2N9vQ,14
BDiY_LD44UO3vplJ6L9fhw,35
BIfo9AKEpC8oIwB60YAR_A,144
BOq6aYbFAyCYNv_7O2mIMg,188
BRl-KarobZBNuCvhz5RWKg,130
BTnkLg9-oy1YFtAOEt8WGw,48
Bcsd8ZedTR5VK1DcGnmDtg,10
BdWmI-F_7ajVToqDDL5A4A,18
Bmh7d4yVxpgLPQ8KLcy_4Q,37
Bmoc9P_qcjuPvVzwOWIXJg,29
BoEcsaokOWStr04tQqr24A,94
BxfvdHqETU8jWYUjx5OL2A,766
CGNGY8cHPfLeddV1UNVMuA,13
CLw-I3X3X8l1V80jxPv3AA,50
CYJRj0lF120-WC3UKsuh5A,112
CoCWZV9gvHKUZt5ndw62Ag,41
Cpl1-0iX6N7yauiJKhpXfA,50
CyZrPCmQqMbXdD6SX02f6w,32
D5yLAET1cRsVEEGxtIeRmQ,99
D6iFuPJ5MHbHQafduwUHgw,44
DDJbil2c33o-_vGauoIOdg,106
DJ2IlHhKH9dPeo3-z79Y_w,40
DKXeB-JIou5XPI49CzITuQ,62
DMmdMkh7sIhUHgVawGxY6g,8
DQdRVHYRw8bcLT6Uyt9PNg,9
DRMEopD9Td8OoDk-JWm1Rw,205
DSH4wPdivtYZHJaNGG35uw,18
DT3ujxJgs_OTgC-ZYf14Fw,44
DThL8pJeMkpwHEIFS9QGOg,12
DaXCyZLm8yBsR1UndzSfhw,59
DbsVMg43LXjrOIWnLFOeZA,14
DeSsx9UMrU3tfedZbZfCag,27
DhZVpgeBKxoLd91MiwTxpg,375
DpHiXRM3cxC9c2i4idYw0g,135
DsKzHnkLKnxZTVsFpts4oA,621
DytKODMqcvQ7MWA0NN2uNw,208
E0PQ4AV8cos828VUWvkbbg,39
E2-VXp6Jc29s4EHLrBtkoA,171
E8jXRCHPjcUTFboBPQY6LQ,44
ED-6JeGGo8C_m7MiSB36Zw,109
EEQJ6wnHD0x1OM41ldTTWg,123
EHUNi6ZX3z8KaXFjGtDd7w,55
ENhzvzEbixDwE3f5G-shbg,95
EPMHuTHu46B123ivRIZ-Xg,130
EQWt7FQ3fPOwIKrt8s_jrg,21
ES5-3q2LzvChQWlhbFCZWw,21
ETAxDtQbcCmy5ibQ5Y6Glg,107
