user_id,num_sampled_business_commented
aWlojpSpzEICTza3RgGJgg,3
x-LrGPXN7WFX15Qk9B6_YQ,13
hWDybu_KvYLSdEFzGrniTw,4
AGyh5jnM0zrIElY7aZQafQ,2
duJnzlaILBFufu1wjyu-Bg,2
2XBcnIVhp_pEeer-asuxHA,2
2DhNGmmyDmnZdZps49U9VQ,1
QvIZleI1KG46yFMRSWrYcQ,1
gv0coNUFY-fibRwP8IKqPA,56
7HOTNEzVwtJQK6iwC6XVJA,2
vFd8aBLg1kFcd0kCkoi-xw,55
UYU71DRx-UDAee-eFOFfWw,32
Xj4NPAq2efs4mzS4kFHGyQ,2
xGxrRm_FfCLd7NXwKEzshw,3
oQUyojSOb6rdMnusw0M5lg,1
-5X3pQ0XrdZqNU1LHQPnpg,1
QrVzVbFQ7vyePxrowVSe4w,1
qsKXDTwhbsZtogfaKIyfoQ,3
zg2FNzIq6s7n41H1E5NnWg,1
PDTLA3gggc62G0V9XamwFw,2
KhhlZrnwPbJsgLN5tNrIFQ,9
5Fk3pRHy5iqu3Bvo_zj5DA,3
10dW9AMs9mlPVHfpLKbrYQ,6
sD1VUBste0S7YnxkTNJVwg,1
4yecY-NxOtnjABr5U5lstw,1
b47MFJu3LYjv6xmCRv0dUA,14
54HB_v5w1Se8-poiu7i7XA,1
A8OMSgdQ8bgsfMs69VKSXw,5
scdTjUdj76BNg78b88yXrA,1
g9RJ3rbeIp5ZbMnGPqvOUA,2
LmZpAA7GFPyuw33vaV3Pvw,3
47IaQUtyjSn_WVwWRO2dDw,5
xhvarYGyc24FrfBoeq3WsA,1
rWMtDr6n2O_aGPfBdlw27g,3
XDb6LgqFwbfil-36NwIcIQ,1
fUnIZ6Z_hy68xjvWipXA7Q,4
qJ2XXYppJ7ljqkOqalrxOA,4
BYZYac1APdtNqzH01TEfVA,2
6LpOxZB_ObAji05UFucQhA,2
ioUTO-zapzvkwS3jaSR44A,1
t2e8bLbRjcXG1H_xam4Ljw,2
oSeE_p_gYxI82APPWJhJjg,13
bo-tTbOoIGvO3gPZE_z19Q,1
IsXy4uiCoElOhmEdLY7QTg,12
Hk4TKkUcIdp77Wilqbg7aA,2
RRsbPGYyKJ3zqMMkzcHZaQ,20
dHVjFoJE3moWG8jJuj7F1g,1
5mkncwQfS4_0n-vIjQ1oLA,3
Npa5DCTbWnXQHtW4ZaKbMQ,1
f6xS_-hD1lZ24oWeYKnkQA,1
Es6VKnZGzchPQHW7oXtwEA,1
m6rMc7KfYuaHjcqfnTDSaQ,1
FIduhSUcrujxxVJ6RXOlow,1
CGPCE8uhkRK3E3fVpaMg7Q,1
st0BO3TE5ZlwcJngc2l3sA,3
ey_5zbjBxUgyNKYN6oVsvw,4
1P6H0xSlgb3eS6mEEhPu1Q,2
9wzcbIu0vz9Fg91lV2pDOg,1
3pdEpfdwA-ghzfIp4NJoqQ,3
Lm-e4tWMZxK1a6I2dL7yTw,1
eEZ1z0CXOjPrO--PF9KMmw,1
cZA_G7kIkyIrR15EKXoVFw,10
tn8yLEyfmnNkcoTPDjZ7QA,1
yesMINWGLA8xw48jJfzUtg,1
y7H-4bWuX3eqC7C11DvQcA,15
RCZ5M9o2-fxgFuurpmEs3w,38
zEVxWD2jQGhG4evS_WtcwQ,1
xKLeaJ5orLWIblPOHOFd3Q,1
eTj0BVNVQD32vNeCzoz66w,2
OlfsCWkMXpjHwgO1a6HTdw,2
nRpUQsLfGWBJ8u7gcj6qzA,12
FJ_WJdPPA-EynKXuY8RywQ,4
H4nUnhN9fq7CobhJMtAfbQ,1
hugvbKO9CVDO1v-l7Jr_HA,1
n0WpZNT-nqAAS4Mr3wwRQA,1
pOSez2YhAYCN7vQ0EvPdpg,1
WW_xCsm5d7sr2jNgunD4Ng,1
Jr_HUbYB9C7KfLaqYMFRZQ,4
K-VORHh0lstDaJJelKvUTQ,1
YB2pqJg23wS_GkfEAt6fwg,1
l0ry2qXxD5LUhpXA55bRmA,1
1sv8MRvWfDOr3Z48j_P7Dw,2
Zt9dmWEJmX6oBNNDWS_whw,2
xkElOnvJAbIpWS43YBCvHw,1
Xg7EYs_ltwrmMaTz5IBbDA,1
j_t7VOjFX7hXMU4a1z9WIA,1
ETulV9aOPkNPkxLhthC5qA,1
Ob5lSb6Oi4uK5vN1zgKUbA,1
7xWrRJ5kfgcQyQ3UL3fImQ,31
Od2Ev0b92eKrciDJIRVNpQ,23
kALjfwXfePTGEpai5QvdCg,1
OW9Nl09o0y1-PujUpFp5HQ,5
ITpldUH1k90kuxJfccW4SA,3
z9uf9-0uX5Jh8-4Y5l2PQg,32
iZ6w4KA-6LD7LrVLwDDRyg,2
THc_hNiMfCFIiS4chC-2Bw,8
acWXjJQ_bMMQw7diiqh1UQ,1
P_6WQSbRgQPO3u_FYa2u4A,1
4X4C16S-3OQCNe3gnqkXlw,29
4aMCizNBsSIxxGIhaO6jrw,2
thY4tADfgZPJwySQmRkG9g,5
F6MTfi0wPHKreKi8yimZWg,1
JRK7CJjeXUyvBLLUH0qFdg,1
6qQFO8DtRdeYQm_qCDlQLg,4
6Yy4vdVpfmy19SigDdVZtA,18
fB4HqZfyb8g98M23ZK9mRg,1
dxEU4v4fSX9aD3tH8dy7cw,5
TXm1oC_6pLG6uwkEYc_p1A,2
OigZ_xPw2zDvEGevAPV7JQ,1
08WZjR1KB00wd6ukc0plwQ,1
aSZ-Xys343FlyYqK8ENV7Q,1
NLpjUuO5uN-qKKmait8Nzg,4
_nlsafpaDtKWS5PI9rdCdQ,1
Qf3naiq8wYmIHfmVoQ2zCA,1
dCc6LfnTVCD-NoBCF8T9kA,3
zexRdACYzhpyu_byMWFzHQ,3
5q9CO72qVQRpOV5XiAvTnw,1
w5iiF7drL4mKBBO8oAUQqg,9
u3OCn-7UTb2g_zIRXwrJdw,4
ak60wKHLdPYq8j7ImjvMjw,4
OBoeuSW39_uwUXGtN4vdOA,2
OsJxusIC20trNVWSbl6_ag,1
Ot3dwSCZ-1m_z-rIoG5tNA,6
fOAGaSQUVtm8BdzGzm27Ng,1
j2-4DBxsy5x0FG0FAl76Pg,2
QUdKrOA3Iv1laFNRgq8W-g,1
xfSCb4lQwjoin9ckt4YkzA,2
2VKyT3D4i3MG7C7FuPIknA,3
z_Cmlc420i-ngpPXQVerag,1
FyiYuZrIzSkgshdazHZCWw,6
BT078iVKK7VGRwtmPLxUxQ,3
BeOiwpYhY_IYRKOIfAnJ4g,1
nmZh1hS948QbD7FunGi8eg,3
fvq56hMZvcePjf23LGdMMQ,5
EvgdFShpjq1YNHgvwAr6Vg,4
wR7pFcXKEVvpr2pM4jr50A,11
Ss8qDbb9qmIT5YhSybg1SQ,10
nJcxcHmIKW8u-W__mL7PPQ,2
2IhBXOOrK3RMck1YWXyiWA,2
8bS2qVIiFC6irUG64dBTkA,1
IdV-Y-VKTGK4ug4nGLWhbg,1
C5f4mfGv1G5WhXe5SLauLA,2
NPWQBnyaAWCGLljag5Lqfw,1
vRuHPM06W9iQJXK8XHbC3Q,1
cw03AaSL4BXtY6Mk0Xyqdw,2
i84YDhPbxtq9F8ipmtR5vg,12
GqtgrJ5wTiM9DUa1wPJM1Q,1
Qr4WZ5cQ1HtCowUy27BdUQ,8
yGhwx2g8wrv3A2mSb-2jrg,5
ISutCt_yh0KwWD1c99pQtw,2
Tu4ATXLhy8kRTjpQCnl2pA,1
9hozjSNcHV77shHl1aQASQ,1
MJQb9BWt627gSfF7tk_y7w,2
wKpuRqA-f1Acf1lCZqHCMQ,1
VY5_b-BwhN-ZboxVDz4XUQ,1
qHsILxH1bttoDGEehlYpCg,1
Ekw9VVJimJRDtV6J5xiZWg,2
72IzJGW6JNR-N9Bw7wM0WA,1
qvOVprf-S1lpO5fNQJ-Qpg,1
6J9_G3HMr-0yf2I4NHXhfA,8
EXJj7S_nsfqgraUUaYM3BQ,2
h43viM9xXSqMfZl_21pl-g,3
rItnJdV5VxRM8UxGTpCFRg,1
dWp0t8nMUzn2FpjT5va-kA,1
BjuLk3Upbe6KZin1VISarw,2
oXvsbGlHx7LlTBD4Q_NyDw,4
gVqf7cGGauHPyfDLnVyZzw,2
ZX8Ib2g8wT6SWPnOHBbYJQ,1
qAQjfwspeg9WvCewHLrxOQ,12
0mYNAVDIzW4fzgAQ5opGWg,5
M9f1_TmxxKyaGfLN3kAvbA,11
-eitKtZRtkSO2mePx5O5xw,1
EgF167uf_PNYJ7Hxa6e5Gg,1
LcK8Dve7So689hUPUy38NQ,6
l6Ue5AMc2ItlM3ZGMCwPzQ,1
bXo5WgLb36Z2DhXMbOYAvQ,1
wAyZpA0gHtR5dOZYhkqJAA,1
NUtIAX-ygn474tDg5nmesg,16
QTRxJsAEXsTIZ2p2qhOT0g,1
O36sWGURKAHeSuOTzFabQg,1
NEVXtJ4YzoUT6alIo6qEZQ,6
gGM47bZjdnTQPqx1Rd237g,3
alnauleZeBCUk1hZvKIMsA,3
i4WIdqBWFFGk2HytlaaZAg,1
h_oqE3rxphD2SaZZMzmPlw,1
qrJ12rjlVj3AkNRB-EcEgg,1
Cvi8nZTwDVaQkqmmgQwQMw,19
HrigG63kjiYOrRpSqzkZnA,1
KKV5nqT_-6cNfzcHEMXF6w,1
gR63Khh2f05Oaq1qpO7J6A,1
aL9hqNLfPWt_Lw2r9AteoQ,1
